"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"2",54,"false",0.703,0.478,7,-8.062,1,0.0441,0.626,0,0.113,0.734,117.562,4,2003,"Both"
"3",63,"true",0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,4,2016,"Pop"
"4",39,"false",0.543,0.808,9,-6.615,0,0.0632,0.0429,1.64e-06,0.326,0.299,140.064,4,2014,"Pop"
"5",35,"false",0.664,0.585,0,-7.062,0,0.0248,0.624,0.000112,0.343,0.597,111.29,4,1975,"Rock"
"6",53,"false",0.748,0.627,7,-6.029,1,0.0639,0.131,0,0.0852,0.524,120.963,4,2017,"Pop"
"7",60,"false",0.853,0.571,1,-5.845,1,0.0543,0.133,0,0.0564,0.958,117.991,4,2018,"Pop"
"8",83,"false",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4,2005,"Pop"
"9",44,"false",0.325,0.532,8,-7.208,1,0.0308,0.496,0,0.134,0.162,129.021,4,2007,"Other"
"10",3,"false",0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,4,1983,"Rock"
"11",39,"false",0.578,0.606,11,-6.402,1,0.0282,0.377,0,0.317,0.357,73.912,4,1984,"Rock"
"12",53,"false",0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253,0.109,0.607,129.878,4,2004,"Other"
"13",1,"false",0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,4,1987,"Rock"
"14",42,"false",0.68,0.826,9,-4.958,1,0.0671,0.0683,0.444,0.0861,0.963,158.314,4,1981,"Rock"
"15",9,"false",0.533,0.533,1,-7.92,0,0.064,0.293,0,0.0996,0.638,140.494,4,2011,"Both"
"16",78,"false",0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,2013,"Both"
"17",32,"false",0.734,0.923,11,-8.189,1,0.0561,0.0495,1.29e-05,0.0612,0.847,109.661,4,1995,"Both"
"19",8,"false",0.518,0.556,5,-13.264,1,0.0479,0.526,3e-06,0.0853,0.736,171.496,4,2009,"Other"
